team1_seed,team2_seed,team1_dis(km),team2_dis(km),team1_pt_school_ncaa,team1_pt_overall_ncaa,team1_pt_school_s16,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_overall_ff,team1_pt_career_school_wins,team1_pt_career_school_losses,team1_pt_career_overall_wins,team1_pt_career_overall_losses,team1_pt_team_season_wins,team1_pt_team_season_losses,team1_pt_coach_season_wins,team1_pt_coach_season_losses,team2_pt_school_ncaa,team2_pt_overall_ncaa,team2_pt_school_s16,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_overall_ff,team2_pt_career_school_wins,team2_pt_career_school_losses,team2_pt_career_overall_wins,team2_pt_career_overall_losses,team2_pt_team_season_wins,team2_pt_team_season_losses,team2_pt_coach_season_wins,team2_pt_coach_season_losses,team1_fg2pct,team1_fg3pct,team1_ftpct,team1_blockpct,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_oppblockpct,team1_f3grate,team1_oppf3grate,team1_arate,team1_opparate,team1_stlrate,team1_oppstlrate,team2_fg2pct,team2_fg3pct,team2_ftpct,team2_blockpct,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_oppblockpct,team2_f3grate,team2_oppf3grate,team2_arate,team2_opparate,team2_stlrate,team2_oppstlrate,team1_adjtempo,team1_adjoe,team1_adjde,team2_adjtempo,team2_adjoe,team2_adjde,team1_outcome,game_id
16,16,1076.682624,932.1166887,6,6,0,0,0,0,317,210,317,210,20,9,20,9,0,0,0,0,0,0,16,18,16,18,16,18,16,18,48.9138,37.5556,64.2105,9.434,47.6981,34.1071,70.6505,6.4471,23.9744,29.7082,54.3253,56.8651,0.108,0.1049,45.6127,34.626,74.4032,11.3308,42.6616,33.6399,69.6471,10.5144,35.3229,36.657,54.5135,57.8947,0.0778,0.102,73.8504,99.8665,106.45,67.7359,98.6102,99.6885,0,2002-1373-1108
2,15,969.7752576,1058.567916,0,2,0,0,0,0,81,49,149,73,26,7,26,7,0,0,0,0,0,0,28,63,28,63,19,11,19,11,50.6579,30.8677,73.5782,8.0468,45.2085,31.7841,68.2422,7.1637,33.945,32.7925,50.5495,46.988,0.1053,0.0881,45.0355,33.9114,66.7785,8.1871,48.538,34.3925,68.8172,9.9291,26.9051,30.8891,56.5968,56.3399,0.1282,0.1076,69.9001,111.4954,93.877,71.2446,96.8669,99.9263,1,2002-1104-1194
14,3,1210.852647,513.5292638,0,0,0,0,0,0,62,52,62,52,20,10,20,10,17,22,8,10,4,5,467,144,656,239,22,9,22,9,47.0414,40.8247,75.8117,8.7185,43.1723,32.0968,69.3679,6.7061,32.3549,39.4402,65.7778,58.5246,0.0868,0.0778,50,37.6093,73.0769,7.2512,47.8576,34.7826,70.1258,8.4934,33.6275,31.9731,56.4706,54.8255,0.0835,0.0839,64.7948,105.4534,97.6704,72.8207,117.3877,96.9262,0,2002-1112-1364
16,1,339.9909551,148.3845902,3,3,0,0,0,0,79,41,79,41,19,11,19,11,17,17,12,12,9,9,562,167,635,226,29,3,29,3,47.642,30.5603,65.5914,11.6301,45.6625,30.4104,68.8372,9.8171,36.1794,33.817,49.037,51.8692,0.1108,0.0987,57.4329,36.2651,68.9845,7.2251,46.2916,30.2703,68.8693,7.4692,37.5736,26.1916,57.1821,49.5516,0.1297,0.0919,67.4639,95.3632,99.9754,75.1685,118.5999,87.7504,0,2002-1181-1457
5,12,3007.304604,859.0019913,1,1,0,0,0,0,41,24,41,24,20,11,20,11,8,9,4,4,1,1,283,81,382,133,21,8,21,8,48.3696,40,69.4561,12.5086,42.8866,35.5839,66.4013,10.0155,33.0213,27.359,58.4949,48.2295,0.1045,0.1075,50.306,40.4719,67.9443,7.3961,49.1388,31.8302,70.6406,7.3439,40.2778,27.6393,63.7224,51.5702,0.0922,0.0927,66.5739,109.6136,89.9224,63.3547,108.6231,95.6459,1,2002-1231-1428
16,1,478.5083608,438.9855967,1,3,0,1,0,0,50,40,194,164,18,14,18,14,12,12,7,7,2,2,384,92,384,92,29,3,29,3,42.9583,33.79,69.153,9.3551,43.6876,38.3895,65.604,9.6774,25.629,32.6606,63.1124,64.4315,0.1217,0.1047,52.5627,41.0959,71.9128,12.2449,41.8677,36.4754,68.1621,9.1058,21.791,31.1622,61.3288,52.5424,0.1159,0.1094,63.7588,96.6995,96.6499,79.1217,115.0406,90.5399,0,2002-1242-1221
7,10,1772.933454,706.8631595,9,22,4,10,1,2,272,113,704,278,23,8,23,8,0,0,0,0,0,0,27,5,27,5,27,5,27,5,49.3718,32.7451,64.4068,8.641,45.1689,30.742,68.231,8.8692,27.3752,30.7776,55.0898,51.0013,0.1124,0.0997,50.7947,36.5812,73.1034,5.4849,46.1844,32.4717,68.9051,5.5978,28.7894,32.9782,48.4721,50.6394,0.0974,0.0717,67.3849,104.227,91.8988,66.1658,113.6686,96.201,0,2002-1245-1329
4,13,500.454322,413.9781104,4,8,3,6,1,1,130,42,254,104,20,9,20,9,5,5,1,1,0,0,235,184,235,184,25,7,25,7,50.9105,31.5089,67.6948,12.3344,45.1159,33.6538,67.9117,7.8385,34.8633,34.0611,51.1682,52.8477,0.1055,0.0987,51.0804,35.0133,67.3973,10.741,45.2956,35.5155,65.8163,6.3094,39.4558,33.7196,63.9766,66.8857,0.1415,0.0957,69.3445,109.8256,91.1143,70.2168,109.2741,96.7884,1,2002-1246-1434
12,5,1497.17951,2721.840036,2,2,0,0,0,0,59,37,59,37,21,11,21,11,0,3,0,0,0,0,40,20,225,165,24,7,24,7,49.6829,39.0887,68.9704,9.7222,47.4747,36.414,66.8831,7.8224,37.0173,25.4588,52.2793,54.8999,0.1029,0.101,47.7441,34.5029,77.1386,15.6766,45.0495,30.9064,67.4847,9.9262,35.9432,35.7029,64.1809,53.183,0.1241,0.1028,70.5889,112.3241,99.0919,70.2876,108.2862,93.5169,1,2002-1281-1274
8,9,1022.557906,306.3806906,1,3,0,0,0,0,41,20,140,72,21,10,21,10,2,2,0,0,0,0,80,49,80,49,18,11,18,11,49.037,37.8641,71.194,10.9142,42.6648,33.6538,67.5325,8.6667,31.4024,30.6634,67.0759,56.5271,0.1099,0.1016,48.7666,36.5385,70.7792,6.1591,45.1668,34.4887,69.0598,7.4004,39.0751,33.047,54.6649,53.2325,0.0987,0.085,70.1299,113.8693,97.3342,68.4936,111.8788,97.3901,1,2002-1323-1150
