,game_id,probability
0,2002-1373-1108,0.6
1,2002-1104-1194,0.68
2,2002-1112-1364,0.2
3,2002-1181-1457,0.12
4,2002-1231-1428,0.52
5,2002-1242-1221,0.04
6,2002-1245-1329,0.4
7,2002-1246-1434,0.48
8,2002-1281-1274,0.4
9,2002-1323-1150,0.56
10,2002-1326-1172,0.52
11,2002-1332-1285,0.72
12,2002-1390-1443,0.48
13,2002-1409-1266,0.52
14,2002-1423-1425,0.68
15,2002-1448-1337,0.6
16,2002-1461-1211,0.64
17,2002-1143-1335,0.44
18,2002-1153-1131,0.16
19,2002-1163-1214,0.2
20,2002-1166-1196,0.6
21,2002-1208-1293,0.36
22,2002-1228-1361,0.48
23,2002-1268-1373,0.24
24,2002-1280-1270,0.56
25,2002-1301-1277,0.72
26,2002-1328-1227,0.28
27,2002-1338-1148,0.76
28,2002-1356-1403,0.76
29,2002-1400-1130,0.6
30,2002-1417-1279,0.68
31,2002-1458-1385,0.56
32,2002-1462-1218,0.36
33,2002-1112-1461,0.64
34,2002-1181-1323,0.76
35,2002-1231-1423,0.44
36,2002-1242-1390,0.12
37,2002-1245-1104,0.6
38,2002-1246-1409,0.44
39,2002-1281-1326,0.4
40,2002-1332-1448,0.4
41,2002-1163-1301,0.72
42,2002-1228-1166,0.2
43,2002-1268-1458,0.88
44,2002-1328-1462,0.32
45,2002-1338-1143,0.36
46,2002-1356-1208,0.36
47,2002-1400-1280,0.52
48,2002-1417-1153,0.76
49,2002-1231-1181,0.68
50,2002-1245-1338,0.68
51,2002-1281-1417,0.68
52,2002-1328-1112,0.52
53,2002-1163-1356,0.16
54,2002-1242-1228,0.2
55,2002-1268-1246,0.64
56,2002-1332-1400,0.72
57,2002-1231-1245,0.52
58,2002-1328-1281,0.32
59,2002-1242-1332,0.84
60,2002-1268-1163,0.52
61,2002-1231-1328,0.4
62,2002-1268-1242,0.6
63,2002-1268-1231,0.24
64,2003-1421-1411,0.6
65,2003-1112-1436,0.12
66,2003-1113-1272,0.72
67,2003-1141-1166,0.72
68,2003-1143-1301,0.44
69,2003-1163-1140,0.16
70,2003-1181-1161,0.2
71,2003-1211-1153,0.6
72,2003-1228-1443,0.32
73,2003-1242-1429,0.12
74,2003-1266-1221,0.36
75,2003-1281-1356,0.6
76,2003-1323-1454,0.4
77,2003-1328-1354,0.92
78,2003-1390-1360,0.4
79,2003-1409-1173,0.4
80,2003-1458-1451,0.76
81,2003-1120-1386,0.28
82,2003-1139-1280,0.48
83,2003-1196-1358,0.24
84,2003-1231-1104,0.48
85,2003-1246-1237,0.04
86,2003-1257-1122,0.24
87,2003-1268-1423,0.24
88,2003-1277-1160,0.6
89,2003-1329-1335,0.52
90,2003-1338-1447,0.8
91,2003-1345-1261,0.48
92,2003-1393-1264,0.24
93,2003-1400-1421,0.2
94,2003-1428-1332,0.48
95,2003-1448-1190,0.16
96,2003-1462-1407,0.56
97,2003-1112-1211,0.08
98,2003-1163-1390,0.32
99,2003-1181-1141,0.2
100,2003-1242-1113,0.84
101,2003-1266-1281,0.6
102,2003-1323-1228,0.56
103,2003-1328-1143,0.68
104,2003-1458-1409,0.52
105,2003-1120-1448,0.6
106,2003-1139-1257,0.6
107,2003-1246-1428,0.56
108,2003-1268-1462,0.2
109,2003-1277-1196,0.6
110,2003-1338-1231,0.4
111,2003-1393-1329,0.48
112,2003-1400-1345,0.28
113,2003-1112-1323,0.68
114,2003-1242-1181,0.32
115,2003-1246-1458,0.68
116,2003-1266-1338,0.56
117,2003-1277-1268,0.32
118,2003-1328-1139,0.48
119,2003-1393-1120,0.72
120,2003-1400-1163,0.52
121,2003-1242-1112,0.36
122,2003-1266-1246,0.2
123,2003-1393-1328,0.48
124,2003-1400-1277,0.32
125,2003-1242-1266,0.28
126,2003-1393-1400,0.24
127,2003-1393-1242,0.56
128,2004-1197-1250,0.6
129,2004-1104-1356,0.4
130,2004-1163-1436,0.04
131,2004-1177-1173,0.6
132,2004-1181-1106,0.8
133,2004-1211-1434,0.72
134,2004-1264-1196,0.48
135,2004-1268-1431,0.6
136,2004-1305-1277,0.36
137,2004-1314-1102,0.48
138,2004-1371-1112,0.28
139,2004-1386-1251,0.84
140,2004-1390-1427,0.88
141,2004-1393-1140,0.68
142,2004-1400-1343,0.32
143,2004-1403-1150,0.52
144,2004-1448-1433,0.28
145,2004-1130-1428,0.52
146,2004-1153-1190,0.24
147,2004-1210-1320,0.56
148,2004-1228-1293,0.32
149,2004-1242-1227,0.6
150,2004-1246-1197,0.16
151,2004-1272-1376,0.6
152,2004-1280-1284,0.2
153,2004-1301-1418,0.72
154,2004-1329-1186,0.88
155,2004-1334-1344,0.44
156,2004-1338-1416,0.56
157,2004-1412-1449,0.4
158,2004-1435-1444,0.64
159,2004-1458-1350,0.28
160,2004-1462-1257,0.4
161,2004-1104-1390,0.28
162,2004-1163-1177,0.24
163,2004-1181-1371,0.2
164,2004-1305-1211,0.64
165,2004-1386-1403,0.4
166,2004-1393-1268,0.36
167,2004-1400-1314,0.56
168,2004-1448-1264,0.44
169,2004-1210-1130,0.4
170,2004-1228-1153,0.6
171,2004-1242-1334,0.16
172,2004-1329-1272,0.24
173,2004-1338-1458,0.52
174,2004-1412-1246,0.48
175,2004-1435-1301,0.6
176,2004-1462-1280,0.52
177,2004-1104-1393,0.24
178,2004-1163-1435,0.16
179,2004-1329-1338,0.2
180,2004-1386-1448,0.28
181,2004-1181-1228,0.2
182,2004-1210-1305,0.4
183,2004-1242-1412,0.36
184,2004-1462-1400,0.48
185,2004-1163-1104,0.24
186,2004-1329-1386,0.24
187,2004-1181-1462,0.16
188,2004-1210-1242,0.4
189,2004-1163-1181,0.6
190,2004-1210-1329,0.08
191,2004-1163-1210,0.12
192,2005-1324-1105,0.68
193,2005-1112-1429,0.28
194,2005-1130-1335,0.56
195,2005-1153-1234,0.08
196,2005-1211-1457,0.6
197,2005-1228-1192,0.8
198,2005-1246-1184,0.88
199,2005-1305-1400,0.44
200,2005-1328-1310,0.28
201,2005-1334-1338,0.48
202,2005-1403-1417,0.76
203,2005-1412-1261,0.44
204,2005-1428-1431,0.44
205,2005-1448-1151,0.28
206,2005-1449-1285,0.28
207,2005-1452-1166,0.52
208,2005-1454-1104,0.28
209,2005-1137-1242,0.52
210,2005-1163-1416,0.08
211,2005-1181-1175,0.76
212,2005-1196-1325,0.72
213,2005-1210-1203,0.4
214,2005-1235-1278,0.36
215,2005-1257-1418,0.8
216,2005-1277-1330,0.52
217,2005-1280-1390,0.52
218,2005-1301-1150,0.72
219,2005-1314-1324,0.12
220,2005-1329-1368,0.76
221,2005-1356-1388,0.44
222,2005-1436-1393,0.64
223,2005-1437-1307,0.32
224,2005-1458-1320,0.44
225,2005-1112-1412,0.76
226,2005-1228-1305,0.2
227,2005-1246-1153,0.32
228,2005-1403-1211,0.48
229,2005-1428-1328,0.32
230,2005-1449-1334,0.48
231,2005-1452-1448,0.36
232,2005-1454-1130,0.44
233,2005-1181-1280,0.76
234,2005-1257-1210,0.32
235,2005-1277-1436,0.4
236,2005-1301-1163,0.6
237,2005-1314-1235,0.72
238,2005-1329-1356,0.2
239,2005-1437-1196,0.28
240,2005-1458-1137,0.36
241,2005-1112-1329,0.36
242,2005-1228-1454,0.28
243,2005-1257-1449,0.28
244,2005-1452-1403,0.56
245,2005-1246-1428,0.68
246,2005-1277-1181,0.32
247,2005-1314-1437,0.36
248,2005-1458-1301,0.52
249,2005-1228-1112,0.2
250,2005-1257-1452,0.24
251,2005-1277-1246,0.36
252,2005-1314-1458,0.28
253,2005-1228-1257,0.4
254,2005-1314-1277,0.36
255,2005-1314-1228,0.44
256,2006-1284-1214,0.72
257,2006-1104-1266,0.52
258,2006-1130-1334,0.68
259,2006-1181-1380,0.24
260,2006-1196-1375,0.68
261,2006-1203-1423,0.44
262,2006-1211-1462,0.56
263,2006-1228-1102,0.48
264,2006-1231-1361,0.4
265,2006-1261-1233,0.24
266,2006-1285-1305,0.6
267,2006-1397-1457,0.6
268,2006-1401-1393,0.28
269,2006-1417-1125,0.76
270,2006-1449-1429,0.44
271,2006-1454-1328,0.44
272,2006-1455-1371,0.56
273,2006-1112-1458,0.2
274,2006-1133-1242,0.44
275,2006-1137-1116,0.48
276,2006-1163-1107,0.12
277,2006-1206-1277,0.36
278,2006-1207-1320,0.44
279,2006-1246-1412,0.6
280,2006-1272-1331,0.8
281,2006-1301-1143,0.48
282,2006-1314-1293,0.28
283,2006-1322-1234,0.44
284,2006-1326-1172,0.12
285,2006-1338-1245,0.64
286,2006-1400-1335,0.64
287,2006-1437-1284,0.64
288,2006-1452-1356,0.64
289,2006-1130-1285,0.48
290,2006-1181-1203,0.28
291,2006-1196-1454,0.28
292,2006-1211-1231,0.6
293,2006-1261-1401,0.28
294,2006-1417-1104,0.56
295,2006-1449-1228,0.64
296,2006-1455-1397,0.56
297,2006-1133-1338,0.6
298,2006-1163-1246,0.64
299,2006-1206-1314,0.4
300,2006-1207-1326,0.68
301,2006-1272-1137,0.44
302,2006-1400-1301,0.76
303,2006-1437-1112,0.44
304,2006-1452-1322,0.6
305,2006-1261-1181,0.32
306,2006-1272-1133,0.2
307,2006-1400-1452,0.36
308,2006-1417-1211,0.68
309,2006-1163-1449,0.68
310,2006-1196-1207,0.16
311,2006-1206-1455,0.44
312,2006-1437-1130,0.4
313,2006-1261-1400,0.32
314,2006-1417-1272,0.6
315,2006-1196-1437,0.28
316,2006-1206-1163,0.16
317,2006-1196-1206,0.44
318,2006-1417-1261,0.44
319,2006-1196-1417,0.4
320,2007-1310-1197,0.64
321,2007-1130-1403,0.52
322,2007-1139-1330,0.64
323,2007-1207-1125,0.8
324,2007-1231-1211,0.64
325,2007-1257-1390,0.6
326,2007-1268-1172,0.68
327,2007-1277-1266,0.44
328,2007-1314-1184,0.24
329,2007-1326-1148,0.88
330,2007-1338-1460,0.76
331,2007-1401-1335,0.16
332,2007-1417-1451,0.96
333,2007-1433-1181,0.24
334,2007-1435-1203,0.52
335,2007-1450-1331,0.68
336,2007-1462-1140,0.48
337,2007-1196-1238,0.16
338,2007-1242-1310,1.0
339,2007-1246-1437,0.64
340,2007-1272-1317,0.96
341,2007-1305-1166,0.48
342,2007-1332-1275,0.6
343,2007-1345-1112,0.64
344,2007-1356-1221,0.2
345,2007-1397-1253,0.4
346,2007-1400-1308,0.36
